t,x,y,z,fx,fy,fz
18.250000,1.420833,0.114583,1.600000,0.000000,0.000000,0.000000
18.260000,1.422556,0.114722,1.600000,0.000000,0.000000,0.000000
18.270000,1.424278,0.114861,1.600000,0.000000,0.000000,0.000000
18.280000,1.426000,0.115000,1.600000,0.000000,0.000000,0.000000
18.290000,1.427722,0.115139,1.600000,0.000000,0.000000,0.000000
18.300000,1.429444,0.115278,1.600000,0.000000,0.000000,0.000000
18.310000,1.431167,0.115417,1.600000,0.000000,0.000000,0.000000
18.320000,1.432889,0.115556,1.600000,0.000000,0.000000,0.000000
18.330000,1.434611,0.115694,1.600000,0.000000,0.000000,0.000000
18.340000,1.436333,0.115833,1.600000,0.000000,0.000000,0.000000
18.350000,1.438056,0.115972,1.600000,0.000000,0.000000,0.000000
18.360000,1.439778,0.116111,1.600000,0.000000,0.000000,0.000000
18.370000,1.441500,0.116250,1.600000,0.000000,0.000000,0.000000
18.380000,1.443222,0.116389,1.600000,0.000000,0.000000,0.000000
18.390000,1.444944,0.116528,1.600000,0.000000,0.000000,0.000000
18.400000,1.446667,0.116667,1.600000,0.000000,0.000000,0.000000
18.410000,1.448389,0.116806,1.600000,0.000000,0.000000,0.000000
18.420000,1.450111,0.116944,1.600000,0.000000,0.000000,0.000000
18.430000,1.451833,0.117083,1.600000,0.000000,0.000000,0.000000
18.440000,1.453556,0.117222,1.600000,0.000000,0.000000,0.000000
18.450000,1.455278,0.117361,1.600000,0.000000,0.000000,0.000000
18.460000,1.457000,0.117500,1.600000,0.000000,0.000000,0.000000
18.470000,1.458722,0.117639,1.600000,0.000000,0.000000,0.000000
18.480000,1.460444,0.117778,1.600000,0.000000,0.000000,0.000000
18.490000,1.462167,0.117917,1.600000,0.000000,0.000000,0.000000
18.500000,1.463889,0.118056,1.600000,0.000000,0.000000,0.000000
18.510000,1.465611,0.118194,1.600000,0.000000,0.000000,0.000000
18.520000,1.467333,0.118333,1.600000,0.000000,0.000000,0.000000
18.530000,1.469056,0.118472,1.600000,0.000000,0.000000,0.000000
18.540000,1.470778,0.118611,1.600000,0.000000,0.000000,0.000000
18.550000,1.472500,0.118750,1.600000,0.000000,0.000000,0.000000
18.560000,1.474222,0.118889,1.600000,0.000000,0.000000,0.000000
18.570000,1.475944,0.119028,1.600000,0.000000,0.000000,0.000000
18.580000,1.477667,0.119167,1.600000,0.000000,0.000000,0.000000
18.590000,1.479389,0.119306,1.600000,0.000000,0.000000,0.000000
18.600000,1.481111,0.119444,1.600000,0.000000,0.000000,0.000000
18.610000,1.482833,0.119583,1.600000,0.000000,0.000000,0.000000
18.620000,1.484556,0.119722,1.600000,0.000000,0.000000,0.000000
18.630000,1.486278,0.119861,1.600000,0.000000,0.000000,0.000000
18.640000,1.488000,0.120000,1.600000,0.000000,0.000000,0.000000
18.650000,1.489722,0.120139,1.600000,0.000000,0.000000,0.000000
18.660000,1.491444,0.120278,1.600000,0.000000,0.000000,0.000000
18.670000,1.493167,0.120417,1.600000,0.000000,0.000000,0.000000
18.680000,1.494889,0.120556,1.600000,0.000000,0.000000,0.000000
18.690000,1.496611,0.120694,1.600000,0.000000,0.000000,0.000000
18.700000,1.498333,0.120833,1.600000,0.000000,0.000000,0.000000
18.710000,1.500056,0.120972,1.600000,0.000000,0.000000,0.000000
18.720000,1.501778,0.121111,1.600000,0.000000,0.000000,0.000000
18.730000,1.503500,0.121250,1.600000,0.000000,0.000000,0.000000
18.740000,1.505222,0.121389,1.600000,0.000000,0.000000,0.000000
18.750000,1.506944,0.121528,1.600000,0.000000,0.000000,0.000000
18.760000,1.508667,0.121667,1.600000,0.000000,0.000000,0.000000
18.770000,1.510389,0.121806,1.600000,0.000000,0.000000,0.000000
18.780000,1.512111,0.121944,1.600000,0.000000,0.000000,0.000000
18.790000,1.513833,0.122083,1.600000,0.000000,0.000000,0.000000
18.800000,1.515556,0.122222,1.600000,0.000000,0.000000,0.000000
18.810000,1.517278,0.122361,1.600000,0.000000,0.000000,0.000000
18.820000,1.519000,0.122500,1.600000,0.000000,0.000000,0.000000
18.830000,1.520722,0.122639,1.600000,0.000000,0.000000,0.000000
18.840000,1.522444,0.122778,1.600000,0.000000,0.000000,0.000000
18.850000,1.524167,0.122917,1.600000,0.000000,0.000000,0.000000
18.860000,1.525889,0.123056,1.600000,0.000000,0.000000,0.000000
18.870000,1.527611,0.123194,1.600000,0.000000,0.000000,0.000000
18.880000,1.529333,0.123333,1.600000,0.000000,0.000000,0.000000
18.890000,1.531056,0.123472,1.600000,0.000000,0.000000,0.000000
18.900000,1.532778,0.123611,1.600000,0.000000,0.000000,0.000000
18.910000,1.534500,0.123750,1.600000,0.000000,0.000000,0.000000
18.920000,1.536222,0.123889,1.600000,0.000000,0.000000,0.000000
18.930000,1.537944,0.124028,1.600000,0.000000,0.000000,0.000000
18.940000,1.539667,0.124167,1.600000,0.000000,0.000000,0.000000
18.950000,1.541389,0.124306,1.600000,0.000000,0.000000,0.000000
18.960000,1.543111,0.124444,1.600000,0.000000,0.000000,0.000000
18.970000,1.544833,0.124583,1.600000,0.000000,0.000000,0.000000
18.980000,1.546556,0.124722,1.600000,0.000000,0.000000,0.000000
